,Load_MW,temperature_2m,wind_speed_10m,shortwave_radiation,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,is_holiday,lag_hour,lag_day,lag_week,rolling_mean_24h,rolling_mean_168h,rolling_std_24h,rolling_std_168h
2020-07-13 23:00:00,43128.41,13.9,10.3,0.0,23,0,7,0,-0.2588190451025215,0.9659258262890681,0.0,1.0,-0.4999999999999998,-0.8660254037844388,0,44317.92,37456.26,46306.23,52953.385,52393.66029761905,9385.140718228193,9176.927867825521
2020-07-14 00:00:00,41986.24,13.0,9.4,0.0,0,1,7,0,0.0,1.0,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,43128.41,37077.52,45069.05,53189.72458333333,52374.74470238095,9043.106002194078,9192.811821941194
2020-07-14 01:00:00,41896.66,13.9,8.5,0.0,1,1,7,0,0.25881904510252074,0.9659258262890683,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,41986.24,37194.53,43984.85,53394.254583333335,52356.39464285715,8712.309062498443,9210.542020646819
2020-07-14 02:00:00,42415.75,12.6,7.6,0.0,2,1,7,0,0.49999999999999994,0.8660254037844387,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,41896.66,37902.39,44095.16,53590.176666666666,52343.96494047619,8378.652805305059,9223.307307491204
2020-07-14 03:00:00,44409.54,12.1,7.1,0.0,3,1,7,0,0.7071067811865475,0.7071067811865476,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,42415.75,40160.19,45600.74,53778.23333333333,52333.96845238095,8055.6604957531345,9233.205921301893
2020-07-14 04:00:00,49561.49,12.1,7.8,0.0,4,1,7,0,0.8660254037844386,0.5000000000000001,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,44409.54,46476.28,50233.55,53955.28958333333,52326.87797619047,7785.502846273989,9238.86319362355
2020-07-14 05:00:00,55668.9,13.1,9.4,24.0,5,1,7,0,0.9659258262890683,0.25881904510252074,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,49561.49,53677.37,55170.51,54083.84,52322.87761904761,7681.418971310866,9239.920454078334
2020-07-14 06:00:00,59589.42,15.4,10.4,123.0,6,1,7,0,1.0,6.123233995736766e-17,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,55668.9,58503.62,59813.46,54166.82041666668,52325.84422619048,7687.59158262374,9240.920154913596
2020-07-14 07:00:00,61126.3,17.8,11.0,262.0,7,1,7,0,0.9659258262890683,-0.25881904510252063,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,59589.42,60264.0,62785.51,54212.06208333333,52324.5106547619,7717.360756512692,9239.849238912158
2020-07-14 08:00:00,62669.78,19.9,12.0,410.0,8,1,7,0,0.8660254037844388,-0.4999999999999998,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,61126.3,62420.08,64274.31,54247.99125,52314.634404761906,7748.7049794939685,9229.481704316084
2020-07-14 09:00:00,64295.49,21.9,11.9,535.0,9,1,7,0,0.7071067811865476,-0.7071067811865475,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,62669.78,62887.77,65496.27,54258.395416666666,52305.08363095239,7760.31363399626,9217.854455704195
2020-07-14 10:00:00,65022.95,23.8,12.2,656.0,10,1,7,0,0.49999999999999994,-0.8660254037844387,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,64295.49,63434.97,66248.73,54317.050416666665,52297.93613095238,7833.349411920554,9208.02509676721
2020-07-14 11:00:00,64255.97,25.4,13.1,752.0,11,1,7,0,0.258819045102521,-0.9659258262890682,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,65022.95,63526.63,67138.65,54383.21625,52290.63982142857,7919.942104401633,9197.383986709767
2020-07-14 12:00:00,62509.72,25.8,13.4,651.0,12,1,7,0,1.2246467991473532e-16,-1.0,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,64255.97,61236.79,65366.93,54413.605416666665,52273.48101190476,7957.859650855248,9172.171826308857
2020-07-14 13:00:00,61981.41,26.5,11.6,644.0,13,1,7,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,62509.72,60524.03,64347.13,54466.644166666665,52256.47380952382,8009.388252149766,9150.371381803023
2020-07-14 14:00:00,60573.63,27.0,11.6,694.0,14,1,7,0,-0.4999999999999998,-0.8660254037844388,0.7818314824680297,0.6234898018587336,-0.4999999999999998,-0.8660254037844388,0,61981.41,58821.5,63528.76,54527.36833333334,52242.39214285715,8062.6573141497,9133.458136094696
